,country,l_score,gdp_per_capita,support,life_expectancy,freedom,generosity,corruption,rank,r_indicator
86,China,5.191,1.0290000000000001,1.125,0.893,0.521,0.057999999999999996,0.1,64.0,East Asia
87,Vietnam,5.175,0.741,1.3459999999999999,0.851,0.5429999999999999,0.147,0.073,63.0,Southeast Asia
88,Cameroon,5.044,0.5489999999999999,0.91,0.331,0.381,0.187,0.037000000000000005,61.0,Sub-Saharan Africa
89,Bulgaria,5.011,1.092,1.5130000000000001,0.815,0.311,0.081,0.004,60.0,Central and Eastern Europe
90,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04,59.0,Sub-Saharan Africa
91,Ivory Coast,4.944,0.569,0.8079999999999999,0.23199999999999998,0.35200000000000004,0.154,0.09,58.0,Sub-Saharan Africa
92,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.08900000000000001,57.0,South Asia
93,Jordan,4.906000000000001,0.8370000000000001,1.225,0.815,0.38299999999999995,0.11,0.13,56.0,Middle East and North Africa
94,Benin,4.883,0.39299999999999996,0.43700000000000006,0.397,0.349,0.175,0.08199999999999999,55.0,Sub-Saharan Africa
95,Congo (Brazzaville),4.812,0.6729999999999999,0.799,0.508,0.37200000000000005,0.105,0.09300000000000001,54.0,Sub-Saharan Africa
96,Gabon,4.7989999999999995,1.057,1.183,0.5710000000000001,0.295,0.043,0.055,53.0,Sub-Saharan Africa
97,Laos,4.796,0.764,1.03,0.551,0.547,0.266,0.16399999999999998,52.0,Southeast Asia
98,South Africa,4.7219999999999995,0.96,1.351,0.469,0.389,0.13,0.055,51.0,Sub-Saharan Africa
99,Albania,4.718999999999999,0.9470000000000001,0.848,0.8740000000000001,0.38299999999999995,0.17800000000000002,0.027000000000000003,50.0,Central and Eastern Europe
100,Venezuela,4.707,0.96,1.4269999999999998,0.805,0.154,0.064,0.047,49.0,Latin America and Caribbean
101,Cambodia,4.7,0.574,1.122,0.637,0.609,0.23199999999999998,0.062,48.0,Southeast Asia
102,Palestinian Territories,4.696000000000001,0.657,1.247,0.672,0.225,0.10300000000000001,0.066,47.0,Middle East and North Africa
103,Senegal,4.681,0.45,1.1340000000000001,0.5710000000000001,0.292,0.153,0.07200000000000001,46.0,Sub-Saharan Africa
104,Namibia,4.638999999999999,0.879,1.3130000000000002,0.47700000000000004,0.401,0.07,0.055999999999999994,44.0,Sub-Saharan Africa
105,Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102,43.0,Sub-Saharan Africa
106,Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113,42.0,Sub-Saharan Africa
107,Armenia,4.559,0.85,1.055,0.815,0.28300000000000003,0.095,0.064,41.0,Commonwealth of Independent States
108,Iran,4.548,1.1,0.8420000000000001,0.785,0.305,0.27,0.125,40.0,Middle East and North Africa
109,Guinea,4.534,0.38,0.8290000000000001,0.375,0.332,0.207,0.086,39.0,Sub-Saharan Africa
110,Georgia,4.519,0.8859999999999999,0.6659999999999999,0.752,0.34600000000000003,0.043,0.16399999999999998,38.0,Commonwealth of Independent States
111,Gambia,4.516,0.308,0.9390000000000001,0.428,0.382,0.26899999999999996,0.16699999999999998,37.0,Sub-Saharan Africa
112,Kenya,4.5089999999999995,0.512,0.983,0.581,0.431,0.37200000000000005,0.053,36.0,Sub-Saharan Africa
113,Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.08800000000000001,35.0,Sub-Saharan Africa
114,Mozambique,4.466,0.204,0.986,0.39,0.494,0.19699999999999998,0.138,34.0,Sub-Saharan Africa
115,Tunisia,4.461,0.9209999999999999,1.0,0.815,0.16699999999999998,0.059000000000000004,0.055,33.0,Middle East and North Africa
116,Bangladesh,4.456,0.562,0.9279999999999999,0.723,0.527,0.166,0.14300000000000002,32.0,South Asia
117,Iraq,4.437,1.043,0.98,0.574,0.24100000000000002,0.14800000000000002,0.08900000000000001,31.0,Middle East and North Africa
118,Congo (Kinshasa),4.418,0.094,1.125,0.35700000000000004,0.26899999999999996,0.212,0.053,30.0,Sub-Saharan Africa
119,Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052000000000000005,29.0,Sub-Saharan Africa
120,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045,28.0,Sub-Saharan Africa
